N_bdp,flow,trial,bits_per_second
0.5,0,1,0
0.5,1,1,24874169.88203432
0.5,2,1,35336056.05129249
0.5,3,1,42023361.38095034
0.5,4,1,53836149.551339
0.5,5,1,53548107.83718449
0.5,6,1,55177575.148907825
0.5,7,1,56813956.793174505
0.5,8,1,62147541.55545861
0.5,9,1,61339263.42300452
0.5,10,1,62855180.427293286
0.5,11,1,65527189.12836265
0.5,12,1,67689963.97558355
0.5,13,1,68375943.2923841
0.5,14,1,69621425.95862673
0.5,15,1,69960114.99243109
0.5,16,1,71996571.39374207
0.5,17,1,71487096.17977206
0.5,18,1,74675236.68901241
0.5,19,1,76729281.2141353
0.5,20,1,76798405.30838276
0.5,21,1,77531447.14502569
0.5,22,1,78651941.67203352
0.5,23,1,79849355.4670787
0.5,24,1,80247246.79874444
0.5,25,1,81457055.52699362
0.5,26,1,81550180.51716314
0.5,27,1,82146328.17731954
0.5,28,1,83278673.56347455
0.5,29,1,84498033.7587513
0.5,30,1,84438720.18151015
0.5,31,1,85321565.40478545
0.5,32,1,85797480.51682143
0.5,33,1,86434247.7709887
0.5,34,1,87285123.31152692
0.5,35,1,87819969.66909309
0.5,36,1,88301472.92319304
0.5,37,1,89186292.38507605
0.5,38,1,89575616.27701554
0.5,39,1,90022509.27600197
0.5,40,1,90721649.42406984
0.5,41,1,90993577.3161987
0.5,42,1,91688293.6422095
0.5,43,1,92131383.26488452
0.5,44,1,92722916.74392171
0.5,45,1,93314195.5966162
0.5,46,1,93729463.54426341
0.5,47,1,94117823.35952024
0.5,48,1,94582996.87223773
0.5,49,1,95099352.65364634
0.5,50,1,95567631.2852083
5,0,1,0
5,1,1,30305962.580656506
5,2,1,37386430.456416935
5,3,1,34542467.25257004
5,4,1,35983917.91436986
5,5,1,38334170.6805743
5,6,1,36144474.461495236
5,7,1,35415401.793597035
5,8,1,39535861.85016646
5,9,1,39722355.782498784
5,10,1,39564287.32437723
5,11,1,41149481.19358754
5,12,1,42636225.335496455
5,13,1,44381545.92346403
5,14,1,46270624.59792301
5,15,1,49078939.13062503
5,16,1,49836642.33015039
5,17,1,52913854.64671606
5,18,1,53723482.42754583
