N_bdp,flow,trial,bits_per_second
0.5,0,1,0
0.5,1,1,141510868.6068543
0.5,2,1,260895709.06560907
0.5,3,1,324784143.123946
0.5,4,1,374912647.9618703
0.5,5,1,405667002.84095204
0.5,6,1,421901941.8418909
0.5,7,1,432678081.2450131
0.5,8,1,433919689.50552857
0.5,9,1,440243332.01884615
0.5,10,1,442310365.6784989
0.5,11,1,445746264.26012707
0.5,12,1,448347193.9734879
0.5,13,1,450028446.3431902
0.5,14,1,450818635.9492412
0.5,15,1,451522633.2038349
0.5,16,1,452444810.0329126
0.5,17,1,453474689.50072557
0.5,18,1,454169902.7658029
0.5,19,1,454936154.75276244
0.5,20,1,454859425.6203057
0.5,21,1,456833145.68760824
0.5,22,1,456234570.72176665
0.5,23,1,456800386.8783375
0.5,24,1,456971502.00488406
0.5,25,1,455009638.8535553
0.5,26,1,454847466.48095506
0.5,27,1,457034056.11792654
0.5,28,1,458157787.7569968
0.5,29,1,459171229.9379418
0.5,30,1,458776817.38496244
0.5,31,1,458866302.9590916
0.5,32,1,457578995.83804816
0.5,33,1,459676545.3254901
0.5,34,1,458046714.69844276
0.5,35,1,457805066.7282051
0.5,36,1,458631104.7387887
0.5,37,1,461493413.4500043
0.5,38,1,459466845.11523277
0.5,39,1,460319879.2247109
0.5,40,1,459002072.15396845
0.5,41,1,462218588.7607802
0.5,42,1,460199735.4278658
0.5,43,1,461637002.91287476
0.5,44,1,462124698.2457205
0.5,45,1,463245884.3468091
0.5,46,1,461804627.3290118
0.5,47,1,463506130.91444176
0.5,48,1,460834771.64548415
0.5,49,1,462298640.3768212
0.5,50,1,462968370.9046802
5,0,1,0
5,1,1,47907224.10459959
5,2,1,94527439.29541986
5,3,1,131656832.92740417
5,4,1,166947597.9564264
5,5,1,190384061.72418135
5,6,1,205322269.3449993
5,7,1,219427242.94368973
5,8,1,230742515.37576017
5,9,1,239619851.5970932
5,10,1,231977552.6810498
5,11,1,238182352.8563053
5,12,1,223306118.49954137
5,13,1,226365836.32141548
5,14,1,239093069.16861072
