N_bdp,flow,trial,bits_per_second
0.5,0,1,475881795.0136453
0.5,1,1,341411851.0339838
0.5,2,1,207351892.9655362
0.5,3,1,142512054.56966907
0.5,4,1,100150019.93201952
0.5,5,1,66760808.4147534
0.5,6,1,50789682.77160419
0.5,7,1,40283145.609220445
0.5,8,1,31984697.17780765
0.5,9,1,26616017.729997024
0.5,10,1,22839643.64536488
0.5,11,1,19359901.266233902
0.5,12,1,16363983.691495134
0.5,13,1,14116072.41964852
0.5,14,1,12685631.634439126
0.5,15,1,11493179.006582053
0.5,16,1,10334013.205381546
0.5,17,1,9164812.634517118
0.5,18,1,8272086.505690898
0.5,19,1,7397011.46357043
0.5,20,1,7022072.037995712
0.5,21,1,6370327.853062449
0.5,22,1,6305885.379156548
0.5,23,1,6247981.805698802
0.5,24,1,6780920.722721562
0.5,25,1,7745171.211167347
0.5,26,1,8075100.639012106
0.5,27,1,8808319.955234269
0.5,28,1,8781589.481064007
0.5,29,1,9389627.812712029
0.5,30,1,10090118.33555256
0.5,31,1,10337789.294218725
0.5,32,1,10872917.085915485
0.5,33,1,12015099.145857474
0.5,34,1,12819507.575204153
0.5,35,1,13144804.686623923
0.5,36,1,13187260.831735024
0.5,37,1,13307637.737115089
0.5,38,1,14497018.031008521
0.5,39,1,15069798.887091469
0.5,40,1,15928778.6559611
0.5,41,1,15602694.967656558
0.5,42,1,16426856.030941304
0.5,43,1,16704989.29678423
0.5,44,1,17128257.605654452
0.5,45,1,17571244.63435706
0.5,46,1,17183595.033611022
0.5,47,1,15468731.401197538
0.5,48,1,15197028.913834421
0.5,49,1,8303479.781332912
0.5,50,1,0
5,0,1,473790040.8716052
5,1,1,434868992.8240057
5,2,1,396779992.83356357
5,3,1,365204568.75398237
5,4,1,335647178.08921635
5,5,1,316193503.72107023
5,6,1,290124896.41552216
5,7,1,273943739.5978318
5,8,1,261739393.3975564
5,9,1,251109986.4295881
5,10,1,256473903.33788317
5,11,1,251342318.96494636
5,12,1,263671880.51198518
5,13,1,259808192.45171094
5,14,1,245983367.72257966
5,15,1,242458620.85868007
5,16,1,240953205.48856956
5,17,1,233190608.33778384
5,18,1,243535454.14925402
5,19,1,249545645.3741528
5,20,1,244992502.88027924
5,21,1,239025671.92262837
5,22,1,237285138.88007405
5,23,1,243041919.8238624
5,24,1,249285884.10988075
5,25,1,263936362.61716697
5,26,1,264681218.8018724
5,27,1,275210098.59083974
5,28,1,275490733.8682398
5,29,1,270573124.56341606
5,30,1,274582905.44326407
5,31,1,265009111.31848803
5,32,1,260463737.13305944
5,33,1,258940232.3215871
5,34,1,243706628.86289978
5,35,1,246651950.64864355
5,36,1,225919187.59087536
5,37,1,226143267.83687362
5,38,1,240643565.20760754
5,39,1,242038489.43847355
5,40,1,221016486.81835505
5,41,1,226838236.16129038
5,42,1,227700295.94805083
5,43,1,211490896.66865832
5,44,1,201699877.78984827
5,45,1,180665427.92953545
5,46,1,192126725.61552554
5,47,1,183225925.56176952
5,48,1,169372494.61428228
5,49,1,119170302.8814383
5,50,1,0
10,0,1,473077363.8740927
10,1,1,448886751.27832454
10,2,1,425007683.0132232
10,3,1,403086175.1996459
10,4,1,381600240.2713983
10,5,1,389447285.912126
10,6,1,367829679.2160573
10,7,1,354236838.93778723
10,8,1,338797294.5147554
10,9,1,331000634.30810666
10,10,1,320117464.30277616
10,11,1,317119673.38137347
10,12,1,309830134.81065845
10,13,1,299915127.41161466
10,14,1,288305844.2759541
10,15,1,278263633.2937596
10,16,1,275273632.8483575
10,17,1,281998273.01386327
10,18,1,278375815.87991333
10,19,1,283101911.8830593
10,20,1,284763416.9579332
10,21,1,264508265.35084453
10,22,1,262589009.07197118
10,23,1,282407711.2979914
10,24,1,290241573.52163935
10,25,1,310470163.58889705
10,26,1,342921993.3610441
10,27,1,327537321.85141087
10,28,1,320489516.3460463
10,29,1,326148352.2417853
10,30,1,347545769.74384516
10,31,1,335734603.6709962
10,32,1,322662439.8835608
10,33,1,311097993.61256534
10,34,1,309635882.7860045
10,35,1,301517534.42575735
10,36,1,288138677.4587508
10,37,1,297355162.4351692
10,38,1,271668411.21384513
10,39,1,269032665.37346464
10,40,1,254182809.60453948
10,41,1,242590793.0355112
10,42,1,187270429.28650263
10,43,1,177681172.7178724
10,44,1,215866195.33303297
10,45,1,212404771.9565681
10,46,1,212187684.62358627
10,47,1,203834699.02464378
10,48,1,147600892.3703836
10,49,1,119495090.5642285
10,50,1,0
20,0,1,471847377.706332
20,1,1,454384227.8819645
20,2,1,434954178.42700136
20,3,1,436601649.8918628
20,4,1,414539297.2694039
20,5,1,407032386.6504498
20,6,1,408896406.4945984
20,7,1,403809615.5316119
20,8,1,398346252.97320324
20,9,1,391072398.4280328
20,10,1,385400477.0846932
20,11,1,381134341.5850785
20,12,1,377288240.01254576
20,13,1,374303488.0339455
20,14,1,371800975.71987027
20,15,1,359775822.5331637
20,16,1,351021853.6001891
20,17,1,353801934.9445876
20,18,1,342716302.7657604
20,19,1,335620993.5045998
20,20,1,337683174.74636567
20,21,1,330506168.3576142
20,22,1,323926314.3968124
20,23,1,321946073.9937554
20,24,1,337564471.61356324
20,25,1,353787056.8975414
20,26,1,360654751.6568439
20,27,1,365949561.94795436
20,28,1,358891520.2971263
20,29,1,352170936.5821075
20,30,1,360788768.0084934
20,31,1,355365768.50491184
20,32,1,358606468.992766
20,33,1,340995018.19131815
20,34,1,324428499.39274335
20,35,1,307932649.2129997
20,36,1,302287414.80779225
20,37,1,288401782.1508244
20,38,1,275165576.6645997
20,39,1,260886603.8155387
20,40,1,251950458.8701026
20,41,1,209021871.335982
20,42,1,238285454.53922918
20,43,1,181920525.97397783
20,44,1,189609006.89217502
20,45,1,211182974.32330772
20,46,1,328937151.44847745
20,47,1,192436242.17372742
20,48,1,192853254.1642996
20,49,1,120044542.52070197
20,50,1,0
30,0,1,471517509.3480916
30,1,1,455549091.9012983
30,2,1,438993722.5020726
30,3,1,429966870.1731833
30,4,1,417896150.0277652
30,5,1,413554768.88167226
30,6,1,416253635.74618214
30,7,1,410828147.6362862
30,8,1,403970891.6740324
30,9,1,399767591.58277667
30,10,1,395949671.8001774
30,11,1,389937324.1073631
30,12,1,387041002.8405806
30,13,1,383133360.9914792
30,14,1,374644408.41709566
30,15,1,366716452.3619912
30,16,1,362168089.4868409
30,17,1,356956252.4902574
30,18,1,351842647.2670155
30,19,1,347792834.6756112
30,20,1,341044589.04728746
30,21,1,336943369.06122065
30,22,1,329396145.2684205
30,23,1,337242762.39324594
30,24,1,342262194.91549313
30,25,1,361445973.706644
30,26,1,372936473.16155744
30,27,1,363804409.2191248
30,28,1,361983780.3281168
30,29,1,367504040.4985852
30,30,1,355968636.51525307
30,31,1,356246606.17457396
30,32,1,348621327.2569104
30,33,1,334324790.6755695
30,34,1,319731369.3209046
30,35,1,312969249.1815515
30,36,1,304009843.9748919
30,37,1,286278442.1548625
30,38,1,275968578.2477371
30,39,1,262415111.78271857
30,40,1,244149149.49083662
30,41,1,247432034.86994612
30,42,1,242011132.06677413
30,43,1,190841333.37230793
30,44,1,178854280.1991084
30,45,1,210445116.2967916
30,46,1,207029070.68146297
30,47,1,203047409.57319647
30,48,1,167442625.8987869
30,49,1,119496828.58209686
30,50,1,0
40,0,1,470294180.8507286
40,1,1,457106367.1294788
40,2,1,441571548.44065636
40,3,1,428030718.275388
40,4,1,417098028.67426986
40,5,1,417998374.75363636
40,6,1,416798140.6747989
40,7,1,410812040.8453052
40,8,1,405352372.7608696
40,9,1,401244498.4514364
40,10,1,396184732.69341636
40,11,1,390236030.2587095
40,12,1,386168283.21170044
40,13,1,383727913.7477329
40,14,1,377943180.42970866
40,15,1,368606763.86761457
40,16,1,363301168.0117979
40,17,1,357611321.59370506
40,18,1,352566110.2562196
40,19,1,347930882.9200973
40,20,1,340716608.92134476
40,21,1,337172915.34860945
40,22,1,328789062.515854
40,23,1,335801888.5404082
40,24,1,341760972.2330421
40,25,1,354800945.33164936
40,26,1,377901701.230468
40,27,1,361645371.4709092
40,28,1,365630889.61392933
40,29,1,359950837.3015405
40,30,1,376792369.4882529
40,31,1,350526258.5526032
40,32,1,355953215.53454065
40,33,1,471718524.5902006
40,34,1,329792977.11910397
40,35,1,312698709.0795497
40,36,1,300596874.1495334
40,37,1,286096375.8820219
40,38,1,271672938.941363
40,39,1,258258177.6768251
40,40,1,253470227.5750502
40,41,1,238040332.93906417
40,42,1,205190223.68857762
40,43,1,210156983.62641975
40,44,1,200271964.3847306
40,45,1,209615493.4419245
40,46,1,205555162.79905105
40,47,1,187962340.34493586
40,48,1,171518634.22739354
40,49,1,119696763.06703407
40,50,1,0
50,0,1,471429276.85186833
50,1,1,456152813.35355765
50,2,1,439264126.17941135
50,3,1,430102004.2573389
50,4,1,417171581.70628977
50,5,1,416578692.216288
50,6,1,415376613.0068982
50,7,1,409959379.64257747
50,8,1,404515261.95137024
50,9,1,399208277.5966463
50,10,1,396987293.8641477
50,11,1,391311855.3547764
50,12,1,386467107.85361505
50,13,1,380759016.87366086
50,14,1,379023338.81972665
50,15,1,369410397.57794
50,16,1,362189194.3116172
50,17,1,356891310.49651575
50,18,1,351952965.2096354
50,19,1,345941853.02582943
50,20,1,341243288.50041425
50,21,1,337847244.7467846
50,22,1,330170186.4024708
50,23,1,334796819.600843
50,24,1,342834434.3693643
50,25,1,366205902.9642447
50,26,1,362146066.15377545
50,27,1,364261994.7609181
50,28,1,363957457.47654974
50,29,1,357708935.4623508
50,30,1,359140572.670962
50,31,1,358509975.8180669
50,32,1,353070103.8216807
50,33,1,339999404.820813
50,34,1,324976855.0635171
50,35,1,305587686.49266726
50,36,1,297479244.82995677
50,37,1,286271634.0993544
50,38,1,265131452.34607473
50,39,1,260190422.1062146
50,40,1,250943525.76560706
50,41,1,200209786.71508902
50,42,1,218339543.83795872
50,43,1,187606487.19665673
50,44,1,216227195.43310866
50,45,1,219496747.85533386
50,46,1,203066688.3405095
50,47,1,189521133.48973423
50,48,1,168773424.35656866
50,49,1,119667054.59117277
50,50,1,0
