N_bdp,flow,trial,bits_per_second
0.5,0,1,0
0.5,1,1,163157103.86463308
0.5,2,1,293576099.70239455
0.5,3,1,359945625.5275402
0.5,4,1,389649546.3958856
0.5,5,1,407962519.4438006
0.5,6,1,416570366.35052985
0.5,7,1,424864049.3723422
0.5,8,1,430197747.33993024
0.5,9,1,433891610.48508203
0.5,10,1,438039092.9078855
0.5,11,1,441744542.8818478
0.5,12,1,444626093.02825564
0.5,13,1,446450656.4922325
0.5,14,1,448052460.0471325
0.5,15,1,450136059.2002084
0.5,16,1,451502044.5265025
0.5,17,1,453670741.26468605
0.5,18,1,455626375.6654611
0.5,19,1,456297133.20083356
0.5,20,1,457081424.839934
0.5,21,1,457723511.39105904
0.5,22,1,458103267.1943249
0.5,23,1,458157877.1005047
0.5,24,1,457882092.1191223
0.5,25,1,458315874.46076804
0.5,26,1,460294784.9498521
0.5,27,1,461029839.0191928
0.5,28,1,461140418.2754262
0.5,29,1,461610380.1606018
0.5,30,1,461899878.772537
0.5,31,1,462690383.5816573
0.5,32,1,462378340.2362934
0.5,33,1,464338711.3749533
0.5,34,1,462614214.65214556
0.5,35,1,464993067.7089961
0.5,36,1,463787987.12198246
0.5,37,1,467267445.0283735
0.5,38,1,463768883.13845015
0.5,39,1,464762360.2534199
0.5,40,1,464718772.9140054
0.5,41,1,466207401.7190261
0.5,42,1,465332281.695036
0.5,43,1,466783569.4596374
0.5,44,1,468186869.50241053
0.5,45,1,467034385.7221332
0.5,46,1,467252610.3977564
0.5,47,1,470780405.8448523
0.5,48,1,468879849.32290924
0.5,49,1,469209268.9532126
0.5,50,1,468483814.8043568
5,0,1,0
5,1,1,85331001.80196726
5,2,1,160117432.21617824
5,3,1,196657002.17675287
5,4,1,223323711.43679467
5,5,1,213695744.09052375
5,6,1,224933352.43656784
5,7,1,204043872.92169353
5,8,1,210684147.77205876
5,9,1,200427852.2811276
5,10,1,216316464.35675433
5,11,1,205629349.11198506
5,12,1,204110701.67704713
5,13,1,212745462.12552732
5,14,1,216405674.48163086
5,15,1,211601778.11910805
5,16,1,210123070.47711852
5,17,1,210137753.7096924
5,18,1,217843540.85877758
5,19,1,214042065.12038815
5,20,1,220046423.57343048
5,21,1,228636107.73265314
5,22,1,214205404.0426312
5,23,1,211207160.6475571
5,24,1,211373193.65078247
5,25,1,219266630.51012874
5,26,1,225665993.93286732
5,27,1,221324327.61398637
5,28,1,224136988.44027075
5,29,1,223350942.29527527
5,30,1,253984700.62812963
5,31,1,273581811.8257747
5,32,1,247583514.422872
5,33,1,271039030.9636545
5,34,1,275331244.3040445
5,35,1,248063128.63178283
5,36,1,264680215.9774193
5,37,1,312064510.9063086
5,38,1,285900276.7087814
5,39,1,263740278.85370764
5,40,1,294106569.26286334
5,41,1,264639288.62650675
5,42,1,298072424.2058381
5,43,1,287366962.0191557
5,44,1,289802671.33855575
5,45,1,279866902.03660834
5,46,1,295158899.3070105
