N_bdp,flow,trial,bits_per_second
0.5,0,1,0
0.5,1,1,4722745.142307258
0.5,2,1,16996009.999121472
0.5,3,1,16813218.904948622
0.5,4,1,17073771.654300477
0.5,5,1,21484318.37255769
0.5,6,1,26002703.79628244
0.5,7,1,28081676.008252334
0.5,8,1,28512742.58455057
0.5,9,1,26818522.86922772
0.5,10,1,30099947.6282165
0.5,11,1,29146813.444427203
0.5,12,1,26432289.431249168
0.5,13,1,26510673.054375503
0.5,14,1,32367815.675118215
0.5,15,1,34380088.48511495
0.5,16,1,33169471.078039844
0.5,17,1,35226112.07974354
0.5,18,1,33414691.196076855
0.5,19,1,32064214.6646635
0.5,20,1,35650213.404867485
0.5,21,1,34482676.18001083
0.5,22,1,38546960.77402106
0.5,23,1,39768647.051542126
0.5,24,1,43823085.800466955
0.5,25,1,41731738.937987134
0.5,26,1,34416173.358739585
0.5,27,1,35917028.75701793
0.5,28,1,34352753.4559427
0.5,29,1,38099132.071220696
0.5,30,1,37804630.57746156
0.5,31,1,39895386.782883726
0.5,32,1,39749975.08695318
0.5,33,1,39575546.8524345
0.5,34,1,40048224.584444
0.5,35,1,41502590.56321933
0.5,36,1,41823311.41725041
0.5,37,1,42110161.937382996
0.5,38,1,42332997.55798408
0.5,39,1,43240919.09459521
0.5,40,1,43424163.79919155
0.5,41,1,44231058.5705893
0.5,42,1,44519157.216786325
0.5,43,1,45355957.03352851
0.5,44,1,45423841.622149386
0.5,45,1,45738068.56311342
0.5,46,1,46344209.84084102
0.5,47,1,46495909.48015855
0.5,48,1,47038274.20783899
0.5,49,1,47381593.39748452
0.5,50,1,47808841.71545492
5,0,1,0
5,1,1,2951150.979015575
5,2,1,4688664.998892912
5,3,1,7319872.062375637
5,4,1,8763319.667564327
5,5,1,10119850.994366888
5,6,1,12686535.428552272
5,7,1,18895067.013215356
5,8,1,17363929.98406299
5,9,1,24974290.885922648
5,10,1,18537361.824142348
5,11,1,20928828.36060642
5,12,1,22659394.785182428
5,13,1,23226086.78685339
5,14,1,24449546.154287197
5,15,1,26399412.686940834
5,16,1,26698899.880661406
5,17,1,27481536.092441827
5,18,1,28813027.75180755
5,19,1,29688337.664053682
5,20,1,30980721.840489794
5,21,1,32622936.74554202
5,22,1,34546310.780938745
5,23,1,33389685.765375666
5,24,1,37265542.26717231
5,25,1,34645975.45156115
5,26,1,34818988.85893549
5,27,1,36180315.94868815
5,28,1,36535872.02989251
5,29,1,37410484.04227591
5,30,1,38434124.83304211
5,31,1,39121453.25781862
5,32,1,39109104.318802975
5,33,1,40073243.760809
5,34,1,40595173.75115043
5,35,1,41120613.14371554
5,36,1,41295855.22549018
5,37,1,42404973.533023246
5,38,1,42795334.66983154
5,39,1,43233040.7309786
