N_bdp,flow,trial,bits_per_second
0.5,0,1,477664549.3137855
0.5,1,1,361538569.9509375
0.5,2,1,231452349.5456494
0.5,3,1,168151777.74228954
0.5,4,1,138843437.83705604
0.5,5,1,120014527.05261481
0.5,6,1,102609868.60989182
0.5,7,1,90225859.12463658
0.5,8,1,78710151.21182263
0.5,9,1,68507768.83142512
0.5,10,1,61323704.10847403
0.5,11,1,53236934.74628473
0.5,12,1,45562758.34591627
0.5,13,1,40585988.392348275
0.5,14,1,36648866.83454488
0.5,15,1,32304602.819410123
0.5,16,1,28592623.733335376
0.5,17,1,24440373.360343162
0.5,18,1,22127443.006364387
0.5,19,1,20386126.139581006
0.5,20,1,18886409.186109565
0.5,21,1,18035509.796679277
0.5,22,1,17495543.113421377
0.5,23,1,16925399.778013956
0.5,24,1,16537302.766244506
0.5,25,1,16357622.978287673
0.5,26,1,15778926.20223254
0.5,27,1,15422963.370867694
0.5,28,1,14581738.222279677
0.5,29,1,13725230.429359805
0.5,30,1,13059973.062147712
0.5,31,1,11900510.140747339
0.5,32,1,11817459.510651182
0.5,33,1,10920723.73121961
0.5,34,1,10535989.285997879
0.5,35,1,10109384.475798376
0.5,36,1,9454648.36851021
0.5,37,1,8910874.128688978
0.5,38,1,7856910.841341151
0.5,39,1,7462469.640539927
0.5,40,1,6919991.759402822
0.5,41,1,6435708.200755188
0.5,42,1,5482770.2979125
0.5,43,1,5174901.080510893
0.5,44,1,4505801.427558318
0.5,45,1,3672836.686466835
0.5,46,1,3155837.7071588975
0.5,47,1,2577653.8181648045
0.5,48,1,1680517.3667806226
0.5,49,1,873892.4769151869
0.5,50,1,0
5,0,1,475901476.45841706
5,1,1,352194936.30817634
5,2,1,284832542.7094739
5,3,1,270341937.15141803
5,4,1,258563182.55673096
5,5,1,297382122.80927134
5,6,1,239848660.6146975
5,7,1,302287322.8909072
5,8,1,302587895.3430841
5,9,1,328687831.339753
5,10,1,307901411.3700328
5,11,1,287436725.63478565
5,12,1,312643121.63637996
5,13,1,260465529.12380183
5,14,1,299341633.54854614
5,15,1,306968570.24803454
5,16,1,300677059.0844842
5,17,1,292828011.24548244
5,18,1,284055577.2278053
5,19,1,223523133.73990762
5,20,1,246284810.20272332
5,21,1,255391609.24570125
5,22,1,256894548.6880856
5,23,1,254390768.8054421
5,24,1,221527884.0770379
5,25,1,254981109.28463656
5,26,1,236179017.73634738
5,27,1,238147450.55405825
5,28,1,190771328.2900076
5,29,1,205223195.02331477
5,30,1,198049558.57204816
5,31,1,183278516.80737615
5,32,1,227095575.79479212
5,33,1,176713702.3022464
5,34,1,171256051.7151769
5,35,1,200204203.3614936
5,36,1,164324447.14139992
5,37,1,195027512.53019676
5,38,1,148257862.08948535
5,39,1,151902533.11663508
5,40,1,130220710.30978364
5,41,1,124220851.97061321
5,42,1,114216679.02149987
5,43,1,117787007.59707108
5,44,1,119143264.257936
5,45,1,129979717.10128677
5,46,1,142746171.8080971
5,47,1,145100631.55831465
5,48,1,151786100.06532928
5,49,1,83715981.05455546
5,50,1,0
10,0,1,475000344.65698767
10,1,1,392938094.0217203
10,2,1,348385118.98834056
10,3,1,308438409.7113125
10,4,1,284271097.852443
10,5,1,289861254.72955954
10,6,1,265166211.61577818
10,7,1,297698375.2746027
10,8,1,308201093.0185546
10,9,1,288694849.4845166
10,10,1,311703741.0374312
10,11,1,299618128.4479395
10,12,1,303050050.97144705
10,13,1,308990205.25205463
10,14,1,292514729.9128424
10,15,1,290689347.08506453
10,16,1,274642432.1163021
10,17,1,279732438.6881729
10,18,1,290802007.5934793
10,19,1,288152745.2980793
10,20,1,276688846.19190377
10,21,1,264765481.59940764
10,22,1,284849040.55021393
10,23,1,256973450.9217213
10,24,1,269284238.84835297
10,25,1,270489862.1518217
10,26,1,264979436.50142998
10,27,1,269109337.5004598
10,28,1,267575658.27629146
10,29,1,268887982.8103124
10,30,1,230329500.30770788
10,31,1,245971508.52282998
10,32,1,240165826.29159504
10,33,1,206950097.99567273
10,34,1,211491742.3375286
10,35,1,226919875.07218403
10,36,1,212558901.144451
10,37,1,216278862.6704487
10,38,1,224730004.9719934
10,39,1,198314975.54503745
10,40,1,197034335.61904207
10,41,1,203052279.19392264
10,42,1,226401666.89394188
10,43,1,200599540.7259067
10,44,1,222568638.36258626
10,45,1,193864168.71427774
10,46,1,197224257.17545828
10,47,1,184482698.63797572
10,48,1,160680905.8612304
10,49,1,159200152.23787665
10,50,1,0
20,0,1,474188023.5988465
