N_bdp,flow,trial,bits_per_second
0.5,0,1,47772591.86197214
0.5,1,1,22920909.74277827
0.5,2,1,12017207.848115938
0.5,3,1,9364241.84676395
0.5,4,1,13541818.69708456
0.5,5,1,14554469.165986719
0.5,6,1,11481937.624660797
0.5,7,1,13155162.108019749
0.5,8,1,12928869.282376999
0.5,9,1,12657081.245693931
0.5,10,1,11317383.121074155
0.5,11,1,12152779.711417455
0.5,12,1,12068694.872125905
0.5,13,1,10744150.247633796
0.5,14,1,10418464.095030388
0.5,15,1,10910969.354125932
0.5,16,1,10262282.709426397
0.5,17,1,9658376.300853042
0.5,18,1,9106562.791151633
0.5,19,1,9009536.049183136
0.5,20,1,8756812.82426681
0.5,21,1,7794309.428377536
0.5,22,1,5665125.355618599
0.5,23,1,6817209.081547086
0.5,24,1,6486596.373859351
0.5,25,1,6370032.734750735
0.5,26,1,5854649.447941474
0.5,27,1,5822867.226610925
0.5,28,1,5252093.448270057
0.5,29,1,5418492.538703654
0.5,30,1,4759598.071598845
0.5,31,1,4627622.434048182
0.5,32,1,4637480.3777431715
0.5,33,1,3980040.5596984513
0.5,34,1,3686516.411998307
0.5,35,1,3731289.1767959353
0.5,36,1,3367326.695513662
0.5,37,1,3257840.0116162663
0.5,38,1,3193378.0880551934
0.5,39,1,2828939.1625566506
0.5,40,1,2633092.690101168
0.5,41,1,2453420.845060099
0.5,42,1,2202949.0791177363
0.5,43,1,2004953.8574253544
0.5,44,1,1782177.5518176123
0.5,45,1,1601369.600803548
0.5,46,1,1382154.980955522
0.5,47,1,1130135.2526850286
0.5,48,1,788772.6600390768
0.5,49,1,405817.1368839266
0.5,50,1,0
5,0,1,47767387.47919111
5,1,1,30543015.653902173
5,2,1,27713486.56583628
5,3,1,26060125.332447812
5,4,1,26208117.33023986
5,5,1,26755379.018010244
5,6,1,24932709.07567588
5,7,1,25123682.43165218
5,8,1,24145217.170173835
5,9,1,22933557.989487667
5,10,1,23368621.806906343
5,11,1,23565426.223222017
5,12,1,20934809.735135164
5,13,1,22243046.2578382
5,14,1,20860323.47375097
5,15,1,20132118.390242547
5,16,1,20338867.74814078
5,17,1,19326098.17009869
5,18,1,18616259.578759376
5,19,1,18696299.367803358
5,20,1,16532709.62217153
5,21,1,16951691.869410973
5,22,1,15658068.882005792
5,23,1,15359212.425330592
5,24,1,14541474.043464163
5,25,1,14312213.104935529
5,26,1,14596927.422536751
5,27,1,14436640.895103417
5,28,1,13941817.695881782
5,29,1,14474673.987043066
5,30,1,13385610.446972875
5,31,1,13552824.275999203
5,32,1,13393449.307706509
5,33,1,11842767.642597307
5,34,1,11380077.463381777
5,35,1,10262608.19553096
5,36,1,10629233.61396978
5,37,1,9788365.452838069
5,38,1,9696430.022994587
5,39,1,9243683.789417112
5,40,1,8452568.939495163
5,41,1,9628797.505632294
5,42,1,9042595.267199926
5,43,1,7234292.101620426
5,44,1,6665403.796994252
5,45,1,6390597.353892139
5,46,1,5695170.774898529
5,47,1,5296083.505080241
5,48,1,4002462.9247273556
5,49,1,2580187.0557751027
5,50,1,0
10,0,1,47787507.17080161
10,1,1,35076590.497701935
10,2,1,28096814.57083993
10,3,1,27727045.12060572
10,4,1,26749436.547298465
10,5,1,26848937.502319407
10,6,1,26330176.216541123
10,7,1,25566368.810312442
10,8,1,25369199.834201165
10,9,1,24281468.26128773
10,10,1,24712844.51535876
10,11,1,24325767.83858143
10,12,1,23213973.600189317
10,13,1,23376322.44222346
10,14,1,22327348.96823942
10,15,1,22395029.234530862
10,16,1,22862337.34569035
10,17,1,21944315.538411193
10,18,1,21792843.28436045
10,19,1,20563581.272324845
10,20,1,21011462.45744711
10,21,1,20908266.670146696
10,22,1,20396912.167633682
10,23,1,20361698.030930802
10,24,1,20516359.81392487
10,25,1,20554570.44310231
10,26,1,20088799.096715067
10,27,1,19988741.63646214
10,28,1,20013711.833851766
10,29,1,19513620.195784427
10,30,1,19027240.85760603
10,31,1,18922931.676421158
10,32,1,18251848.70348427
10,33,1,18529044.50743312
10,34,1,17481731.654764466
10,35,1,17909466.923070554
10,36,1,16962002.357704148
10,37,1,17010661.69218103
10,38,1,16591701.732280979
10,39,1,17171779.122919366
10,40,1,16835555.037502415
10,41,1,16248417.091958843
10,42,1,15591283.785412446
10,43,1,15127750.441484617
10,44,1,14585897.32744104
10,45,1,13048116.55896707
10,46,1,12247639.784145346
10,47,1,10178771.812330958
10,48,1,8647809.202670136
10,49,1,10039420.364913804
10,50,1,0
20,0,1,47787535.748107694
20,1,1,39576191.95738668
20,2,1,33822236.61156237
20,3,1,34476370.1262953
20,4,1,34087579.533067815
20,5,1,33258016.049069345
20,6,1,31821736.617130745
20,7,1,30704168.101897687
20,8,1,30110624.097727884
20,9,1,29947679.581243303
20,10,1,29871300.525897257
20,11,1,28710925.852177035
20,12,1,27456726.729305573
20,13,1,28621278.521371547
20,14,1,28183645.112414192
20,15,1,28133127.704110533
20,16,1,27369563.588713475
20,17,1,27732213.16891105
20,18,1,26831095.295811754
20,19,1,26167053.466593247
20,20,1,26862456.807366233
20,21,1,26211163.936923914
20,22,1,25359114.108259168
20,23,1,26413751.554010842
20,24,1,25123092.704129055
20,25,1,25506939.922187243
20,26,1,25456463.052285556
20,27,1,25178460.09722386
20,28,1,24234066.35703145
20,29,1,24749372.260796126
20,30,1,24709633.42738277
20,31,1,24522982.92923033
20,32,1,24136570.480310135
20,33,1,23159846.923658393
20,34,1,24637221.678210028
20,35,1,23540332.706266496
20,36,1,22343809.25449875
20,37,1,23201473.437741537
20,38,1,23346382.965924207
20,39,1,22921310.195882387
20,40,1,22713348.92539887
20,41,1,22091589.760134384
20,42,1,21666634.603903335
20,43,1,21011181.211644743
20,44,1,21332309.30187169
20,45,1,21497690.655189432
20,46,1,21000115.149230853
20,47,1,19730505.9391378
20,48,1,18709888.1541981
20,49,1,17450578.816168677
20,50,1,0
30,0,1,47784387.433603756
30,1,1,44106844.65762341
30,2,1,39166456.87347484
30,3,1,41089314.92027508
30,4,1,39817107.86976361
30,5,1,39044651.84191543
30,6,1,36945821.9611875
30,7,1,36325110.35054094
30,8,1,38516386.256951205
30,9,1,35728740.31703196
30,10,1,36425349.8841486
30,11,1,35480274.50034252
30,12,1,36029737.31698605
30,13,1,33840932.25497345
30,14,1,34379337.116405725
30,15,1,32589617.45351673
30,16,1,32285251.079914793
30,17,1,33610645.030225806
30,18,1,32601549.206139024
30,19,1,32072949.635850593
30,20,1,31601276.15568225
30,21,1,30858310.678759977
30,22,1,30362194.102393523
30,23,1,29548840.611977704
30,24,1,28251221.80363056
30,25,1,31240090.756092075
30,26,1,36174934.213676475
30,27,1,34962921.71348584
30,28,1,30379516.354934502
30,29,1,29110589.691783264
30,30,1,28267644.938599225
30,31,1,29165231.042836975
30,32,1,29203425.908173066
30,33,1,28612907.706994276
30,34,1,29112962.165162638
30,35,1,28374854.285861313
30,36,1,28518803.672055308
30,37,1,28602613.46191802
30,38,1,28323610.995338064
30,39,1,28489568.09979824
30,40,1,28578002.654857036
30,41,1,27521088.653211027
30,42,1,27340785.942344867
30,43,1,26394181.32885385
30,44,1,26065848.061785847
30,45,1,25879929.78700499
30,46,1,25303295.71269912
30,47,1,23929835.692494888
30,48,1,22293478.627718125
30,49,1,21397923.315890424
30,50,1,0
40,0,1,47786803.82487612
40,1,1,45135716.70278399
40,2,1,41535580.79234072
40,3,1,41723757.50099564
40,4,1,39415031.5294701
40,5,1,41358869.89376913
40,6,1,38782088.32861381
40,7,1,39199701.95153305
40,8,1,40818273.6648536
40,9,1,39651574.66873793
40,10,1,40094610.55002655
40,11,1,39209648.732115336
40,12,1,38767541.912824266
40,13,1,38780045.924040064
40,14,1,38010701.81081596
40,15,1,37546464.011487626
40,16,1,36503941.53060529
40,17,1,36080217.84384161
40,18,1,33410064.519786537
40,19,1,33237006.96418208
40,20,1,35871538.88990565
40,21,1,35471230.19081009
40,22,1,33900622.08526376
40,23,1,34003498.209925756
40,24,1,35514967.67273409
40,25,1,34224758.248024315
40,26,1,33617220.832337044
40,27,1,33946059.450017415
40,28,1,34031681.91832049
40,29,1,33907418.373787925
40,30,1,33068613.28227136
40,31,1,31465680.12305543
40,32,1,31762827.51146035
40,33,1,31956211.926286366
40,34,1,32512158.77583459
40,35,1,30417974.509530276
40,36,1,31417109.4841486
40,37,1,31551526.34230712
40,38,1,32530349.30758008
40,39,1,31628567.99185226
40,40,1,31206529.863378495
40,41,1,31943272.236020744
40,42,1,30265365.851668816
40,43,1,30121325.34602362
40,44,1,30261368.78373033
40,45,1,29378573.42268531
40,46,1,28462151.340921074
40,47,1,26579585.141677037
40,48,1,24185008.16492583
40,49,1,20784217.049033098
40,50,1,0
50,0,1,47785378.725938335
50,1,1,45558004.94941579
50,2,1,43611833.93530441
50,3,1,44010553.799651735
50,4,1,41633011.76735514
50,5,1,41973809.64483491
50,6,1,41485590.52277381
50,7,1,41182887.837952666
50,8,1,41869642.7654766
50,9,1,41426423.16676828
50,10,1,40937337.80558968
50,11,1,40362087.352988586
50,12,1,39969911.13599311
50,13,1,39221959.619467884
50,14,1,40186914.68833078
50,15,1,39516815.57919471
50,16,1,38797427.90614312
50,17,1,39299952.61302665
50,18,1,37559664.89769781
50,19,1,37820662.13220562
50,20,1,37030410.82955493
50,21,1,38443750.960852176
50,22,1,37654321.746212006
50,23,1,35836003.70747535
50,24,1,36122196.9765597
50,25,1,35903250.71645826
50,26,1,36872786.05897867
50,27,1,35890610.7386157
50,28,1,36762754.23748497
50,29,1,36071954.13315647
50,30,1,35819669.606118195
50,31,1,36422203.2702803
50,32,1,36067784.868509725
50,33,1,35103098.81434438
50,34,1,34477430.297865175
50,35,1,36122108.58752258
50,36,1,35612623.59211678
50,37,1,36560758.97385869
50,38,1,36052420.17093551
50,39,1,35811660.1282485
50,40,1,35029329.50463065
50,41,1,35847818.12407058
50,42,1,34769588.75576422
50,43,1,34770665.34300049
50,44,1,32851683.321675815
50,45,1,32913553.625365883
50,46,1,30770951.196884833
50,47,1,26799905.128973093
50,48,1,26756944.698381666
50,49,1,20881700.497422766
50,50,1,0
