N_bdp,flow,trial,bits_per_second
0.5,0,1,47793584.511403546
0.5,1,1,45041760.95667504
0.5,2,1,42113892.7770672
0.5,3,1,38988580.32756712
0.5,4,1,39859808.12774759
0.5,5,1,29986470.992887717
0.5,6,1,30091827.87841399
0.5,7,1,34161040.548173085
0.5,8,1,30961586.524350535
0.5,9,1,28956844.880063053
0.5,10,1,28741390.36562072
0.5,11,1,27621561.7749768
0.5,12,1,26153745.800032824
0.5,13,1,26503412.937223654
0.5,14,1,25319119.748512905
0.5,15,1,22689674.855401937
0.5,16,1,22473899.69426783
0.5,17,1,20733114.353834853
0.5,18,1,19868884.581514124
0.5,19,1,18592316.95313923
0.5,20,1,17740148.31344977
0.5,21,1,15849160.891139261
0.5,22,1,13977698.362264799
0.5,23,1,14403274.100247324
0.5,24,1,9317656.597695965
0.5,25,1,12896626.092909284
0.5,26,1,12582517.685771406
0.5,27,1,12770115.04576055
0.5,28,1,11150486.324543506
0.5,29,1,10712251.10532261
0.5,30,1,10339098.084979706
0.5,31,1,9368330.330684846
0.5,32,1,8796761.75111056
0.5,33,1,8000433.692310585
0.5,34,1,7865512.217972371
0.5,35,1,7007505.013337045
0.5,36,1,6304974.952940094
0.5,37,1,6260376.597232221
0.5,38,1,5665571.996072317
0.5,39,1,5200039.130417612
0.5,40,1,4640259.947058726
0.5,41,1,4000706.592485731
0.5,42,1,3759238.0248427815
0.5,43,1,3304014.3869645195
0.5,44,1,2747629.273837988
0.5,45,1,2440622.185676531
0.5,46,1,1951043.5842300367
0.5,47,1,1615083.2179891346
0.5,48,1,1140538.2237027052
0.5,49,1,701324.8102896895
0.5,50,1,0
5,0,1,47794560.03056735
5,1,1,30511191.79934832
5,2,1,27810794.450627957
5,3,1,26886972.964935098
5,4,1,24564119.26929167
5,5,1,22802729.875616428
5,6,1,20636046.99095697
5,7,1,21090837.25973869
5,8,1,20108713.082733896
5,9,1,18108124.82010859
5,10,1,17839362.14865845
5,11,1,17732461.66156362
5,12,1,16351083.774311513
5,13,1,15667085.431810752
5,14,1,15290898.326936
5,15,1,14818362.067468446
5,16,1,14382689.950774541
5,17,1,13343499.610039063
5,18,1,12623108.007405002
5,19,1,12111507.364802178
5,20,1,11756298.306064198
5,21,1,11111328.539387427
5,22,1,10744786.553803798
5,23,1,10191100.774475915
5,24,1,9747899.954327736
5,25,1,9683504.275656698
5,26,1,9112898.158697704
5,27,1,8665695.807250956
5,28,1,7911126.227888009
5,29,1,6964253.961522543
5,30,1,6681165.093857713
5,31,1,6270095.740480049
5,32,1,6064915.30602812
5,33,1,5760401.643322752
5,34,1,5370928.439473726
5,35,1,4924473.275876006
5,36,1,4771315.780793761
5,37,1,4385220.647347705
5,38,1,4110569.152040855
5,39,1,3383994.0222032163
5,40,1,3651111.9022852867
5,41,1,3263933.1713540005
5,42,1,3042300.8504179497
5,43,1,3498264.8727909853
5,44,1,3201618.120067626
5,45,1,2939131.0269488525
5,46,1,2733118.4914762974
5,47,1,1500366.2215195762
5,48,1,903427.6373223152
5,49,1,559917.2960127199
5,50,1,0
10,0,1,47803581.74542522
10,1,1,33846949.431338415
10,2,1,30585473.793812204
10,3,1,31233473.1529865
10,4,1,28232411.24680054
10,5,1,27527705.56144594
10,6,1,25872852.745187107
10,7,1,26209462.870819446
10,8,1,25107925.046318363
10,9,1,23349931.597778324
10,10,1,23341332.34936656
10,11,1,22487650.73767209
10,12,1,21798985.89128413
10,13,1,21213745.23146538
10,14,1,20480964.27719574
10,15,1,20085649.082711086
10,16,1,19337367.413953345
10,17,1,19115595.581186585
10,18,1,19022726.072573137
10,19,1,17954218.676086158
10,20,1,17911743.784475867
10,21,1,16486187.393231267
10,22,1,15715508.266556667
10,23,1,15347862.576978631
10,24,1,15277395.717358792
10,25,1,14453894.874053022
10,26,1,14041124.407855108
10,27,1,14257904.595829526
10,28,1,12747330.814795699
10,29,1,11776127.536660101
10,30,1,11823439.439266251
10,31,1,10935334.47486355
10,32,1,10164754.637315799
10,33,1,9771124.382621735
10,34,1,8626456.701254983
10,35,1,9127485.861918781
10,36,1,8164915.328234182
10,37,1,7886465.846006973
10,38,1,7743220.053108948
10,39,1,7667791.010960329
10,40,1,7209273.037954561
10,41,1,7081756.361854504
10,42,1,7179557.595138726
10,43,1,6775139.21637592
10,44,1,5569815.344107765
10,45,1,5270892.152219378
