N_bdp,flow,trial,bits_per_second
0.5,0,1,0
0.5,1,1,29050377.81481748
0.5,2,1,39887290.63610281
0.5,3,1,39843689.12031182
0.5,4,1,42387453.48332511
0.5,5,1,40844257.911560655
0.5,6,1,40819178.498166986
0.5,7,1,41074038.72514519
0.5,8,1,41053708.415625386
0.5,9,1,41596509.003171176
0.5,10,1,41261159.721824475
0.5,11,1,41550456.96016347
0.5,12,1,41379509.65393484
0.5,13,1,41447628.724272564
0.5,14,1,41461128.90077629
0.5,15,1,41433762.67991441
0.5,16,1,41859604.94251427
0.5,17,1,42115904.52928587
0.5,18,1,42028404.90818333
0.5,19,1,42172213.303548604
0.5,20,1,42333232.37887021
0.5,21,1,42955924.56900075
0.5,22,1,42730119.146559544
0.5,23,1,42555355.37299532
0.5,24,1,43486775.29053239
0.5,25,1,43123208.204776004
0.5,26,1,43054705.88624123
0.5,27,1,43390954.100535706
0.5,28,1,43654252.35973031
0.5,29,1,43974946.39070632
0.5,30,1,43961819.31465502
0.5,31,1,44149624.44437888
0.5,32,1,44564023.64293024
0.5,33,1,44562002.19963882
0.5,34,1,44709710.06912013
0.5,35,1,45054111.63762384
0.5,36,1,44943407.065251134
0.5,37,1,45081136.097320825
0.5,38,1,45362519.89487656
0.5,39,1,45500704.06621466
0.5,40,1,45684551.81544563
0.5,41,1,46394359.79353069
0.5,42,1,46252324.733124815
0.5,43,1,46098749.390088014
0.5,44,1,46430625.08177763
0.5,45,1,46945351.03446201
0.5,46,1,46702797.33969425
0.5,47,1,47318672.5049173
0.5,48,1,47021103.48191938
0.5,49,1,47579894.92298185
0.5,50,1,47653839.184543274
5,0,1,0
5,1,1,20176439.860881418
5,2,1,24472031.011178277
5,3,1,24037142.137891855
5,4,1,24463481.183298174
5,5,1,23904517.037431844
5,6,1,25390959.721831057
5,7,1,25688270.761017084
5,8,1,25394032.85090947
5,9,1,25445421.645902768
5,10,1,26426109.90481857
5,11,1,25956271.92389066
5,12,1,27149071.498080436
5,13,1,26512672.90781172
5,14,1,26703236.469447497
5,15,1,27902009.038666006
5,16,1,26717406.646049097
5,17,1,27810144.400003433
5,18,1,27349190.32174281
5,19,1,27782940.160187684
5,20,1,28066074.244574998
5,21,1,28400136.409188513
5,22,1,28634964.828353874
5,23,1,28511012.961950883
5,24,1,28039039.229351263
5,25,1,28010296.903342612
5,26,1,28452895.342340127
5,27,1,28540423.27939125
5,28,1,29518903.28396316
5,29,1,29770439.871566433
5,30,1,30463569.153888993
5,31,1,30916995.397256248
5,32,1,31056332.31937282
5,33,1,31211184.7551828
5,34,1,31568304.779129032
5,35,1,30233204.211318582
5,36,1,32173887.50105345
5,37,1,32851727.953474995
5,38,1,32839895.605832543
5,39,1,31777999.962732557
5,40,1,35780984.72167092
5,41,1,36863837.34597543
5,42,1,36728948.45373281
5,43,1,36262907.98397807
5,44,1,38355487.157516785
5,45,1,39491650.23353474
5,46,1,40332610.38523434
5,47,1,41549815.09660065
5,48,1,39608152.00454343
5,49,1,37081221.40250145
5,50,1,47432368.960195825
10,0,1,0
10,1,1,12366808.103531726
10,2,1,18437961.15769714
10,3,1,21392804.54823281
10,4,1,23381696.902884185
10,5,1,21461266.79444978
10,6,1,21109253.096375484
10,7,1,20314874.845950853
10,8,1,22131013.706643507
10,9,1,21147849.691310015
10,10,1,21019168.854944736
10,11,1,20764771.837260775
10,12,1,22422119.363483705
10,13,1,20946698.18752943
10,14,1,21882471.386769757
10,15,1,21712395.881877653
10,16,1,22877207.262082282
10,17,1,23059120.845125474
10,18,1,24300626.059003998
10,19,1,23212093.57677291
10,20,1,23441936.666794647
10,21,1,23519458.882632144
10,22,1,23876268.213116284
10,23,1,22703472.805717614
10,24,1,23266310.729351517
10,25,1,22946227.31322197
10,26,1,21057637.635205586
10,27,1,21294190.480646055
10,28,1,22847536.816203482
10,29,1,24042087.84245262
10,30,1,24555285.5872302
10,31,1,25932740.4236541
10,32,1,25225607.482931957
10,33,1,25852093.933580942
10,34,1,25275787.707264163
10,35,1,26670568.015800644
10,36,1,26647297.076953385
10,37,1,26705708.121418413
10,38,1,25866653.679993205
10,39,1,27045510.054346822
10,40,1,26957541.528813407
10,41,1,27105953.655929305
10,42,1,27980224.674392626
10,43,1,28079155.44602582
10,44,1,28997713.367211144
10,45,1,29405902.86769839
10,46,1,27960899.394467454
10,47,1,29219150.52837067
10,48,1,30708964.01652076
10,49,1,34308678.94253686
10,50,1,47451336.21920033
20,0,1,0
20,1,1,8771840.073074795
20,2,1,13523731.769557964
20,3,1,16408987.728141613
20,4,1,15620254.44737796
20,5,1,14811906.160678659
20,6,1,16860556.527507827
20,7,1,16975426.209511925
20,8,1,17871047.26320876
20,9,1,18244780.126129724
20,10,1,16970239.51240417
20,11,1,16403442.34096156
20,12,1,17504514.267585546
20,13,1,17946889.627604056
20,14,1,18387970.422796007
20,15,1,16959118.191550624
20,16,1,17807528.70719196
20,17,1,17648897.120112997
20,18,1,16834995.84474036
20,19,1,17132497.998373207
20,20,1,16503833.815953461
20,21,1,16128676.97942933
20,22,1,17392899.955626592
20,23,1,17516700.590658624
20,24,1,16841168.18834379
20,25,1,14353125.66282134
20,26,1,15107907.312376397
20,27,1,15369380.023592217
20,28,1,15998088.757664615
20,29,1,17845879.241125617
20,30,1,17009306.05691527
20,31,1,18371834.07205562
20,32,1,18889964.731225815
20,33,1,17631386.116776206
20,34,1,17926070.0551427
20,35,1,17872413.150581896
20,36,1,19547231.215115216
20,37,1,19317083.0683479
20,38,1,19211481.97886491
20,39,1,19671246.62362153
20,40,1,20124374.36178783
20,41,1,19182886.049669113
20,42,1,20004558.58212158
20,43,1,20911466.07392756
20,44,1,22999930.8550997
20,45,1,22270102.269146435
20,46,1,22130263.33309876
20,47,1,23441652.0580636
20,48,1,26874504.913000155
20,49,1,29370033.455672026
20,50,1,47438739.053382196
30,0,1,0
30,1,1,6810289.93013119
30,2,1,10602805.597299231
30,3,1,12461750.705749417
30,4,1,12505964.660644868
30,5,1,12342351.028804554
30,6,1,12956267.445813632
30,7,1,12191940.886817593
30,8,1,13040211.19138402
30,9,1,11741679.86448269
30,10,1,12260337.333644351
30,11,1,13029539.54178519
30,12,1,12657163.442598937
30,13,1,13197359.657639945
30,14,1,13125111.994303776
30,15,1,13456089.482520599
30,16,1,12110655.296256622
30,17,1,12221363.509856923
30,18,1,12791220.769675909
30,19,1,12806438.985684445
30,20,1,12842708.099285739
30,21,1,11802837.833735652
30,22,1,10925734.083833294
30,23,1,10858783.87948678
30,24,1,9803036.013661183
30,25,1,9106506.828225242
30,26,1,6964701.897193675
30,27,1,6564241.4525075
30,28,1,9311344.007826228
30,29,1,10964677.614883589
30,30,1,12533673.650338577
30,31,1,11834078.990584202
30,32,1,13464169.379126864
30,33,1,12922753.438524779
30,34,1,12905849.536455967
30,35,1,13130310.37724972
30,36,1,11438230.984563556
30,37,1,13346908.899777675
30,38,1,15036133.51335576
30,39,1,14584220.934927965
30,40,1,13309799.13992312
30,41,1,19003533.87183838
30,42,1,25229877.364471987
30,43,1,23945182.677059337
30,44,1,27115530.414714057
30,45,1,26223460.997311544
30,46,1,26145793.193604235
30,47,1,26499715.298492793
30,48,1,27853820.149023462
30,49,1,33924807.05697121
30,50,1,47443585.77939487
40,0,1,0
40,1,1,4788974.22706863
40,2,1,8339329.968637848
40,3,1,9313738.967714783
40,4,1,10612627.938946143
40,5,1,10174512.54739802
40,6,1,8924649.423055956
40,7,1,9709197.099206196
40,8,1,9670179.701959752
40,9,1,9271196.449349497
40,10,1,9054844.19942302
40,11,1,8877032.075028425
40,12,1,10296761.931939648
40,13,1,9653943.211218515
40,14,1,9939953.482648103
40,15,1,11393052.990428597
40,16,1,11197536.077443631
40,17,1,11427842.540208986
40,18,1,10708782.072256433
40,19,1,10363552.12069027
40,20,1,9386127.755489415
40,21,1,10260111.41205274
40,22,1,9595122.32633027
40,23,1,9200334.537379647
40,24,1,8895124.698277107
40,25,1,9362752.479176207
40,26,1,8009193.3537503
40,27,1,9531057.179062413
40,28,1,9688161.03935995
40,29,1,9041760.876142843
40,30,1,9587383.796731541
40,31,1,10076803.857757917
40,32,1,9940339.9999763
40,33,1,9552897.689027648
40,34,1,9107458.923744138
40,35,1,9687654.926955707
40,36,1,10332992.946875965
40,37,1,10191108.465954402
40,38,1,9966511.83658186
40,39,1,10568535.465033181
40,40,1,10763806.400607366
40,41,1,10731297.748726755
40,42,1,10986259.08711812
40,43,1,12271067.20603173
40,44,1,13981912.199595029
40,45,1,15782535.238281833
40,46,1,16331356.446904395
40,47,1,20304449.406740673
40,48,1,24177398.212030847
40,49,1,29279060.66057165
40,50,1,47450305.06307855
50,0,1,0
50,1,1,4684130.456477055
50,2,1,7573885.125776781
50,3,1,9140111.516856749
50,4,1,9076557.749098668
50,5,1,10067359.309934355
50,6,1,9101976.913377445
50,7,1,9439771.169359343
50,8,1,10266866.749387953
50,9,1,10266345.157873446
50,10,1,10148040.504406227
50,11,1,9601062.365622314
50,12,1,11538190.208429238
