N_bdp,flow,trial,bits_per_second
0.5,0,1,47730780.89523631
0.5,1,1,19777664.070007473
0.5,2,1,9081409.77695249
0.5,3,1,9122984.93425893
0.5,4,1,6109208.960160789
0.5,5,1,8765300.890458075
0.5,6,1,8728747.075925728
0.5,7,1,7609664.381809237
0.5,8,1,7234305.177492822
0.5,9,1,7431776.493325881
0.5,10,1,8398593.133985218
0.5,11,1,7291015.118215118
0.5,12,1,7774623.11374135
0.5,13,1,7200289.038473631
0.5,14,1,7557792.354394078
0.5,15,1,6390233.21705287
0.5,16,1,7011421.676205288
0.5,17,1,5923535.607430192
0.5,18,1,6207334.03891385
0.5,19,1,6008321.114148861
0.5,20,1,4981842.087343127
0.5,21,1,4258899.53396814
0.5,22,1,4534608.585835874
0.5,23,1,4640342.243056507
0.5,24,1,3725671.7934806794
0.5,25,1,4125415.402995122
0.5,26,1,4187085.5270848647
0.5,27,1,3929240.936797028
0.5,28,1,3716979.6150340224
0.5,29,1,3481286.4795728377
0.5,30,1,3554775.6506383987
0.5,31,1,3390746.937970085
0.5,32,1,3055892.1453294265
0.5,33,1,3095232.9075782094
0.5,34,1,3018679.468226038
0.5,35,1,2759750.7707733125
0.5,36,1,2865047.2147173337
0.5,37,1,2760813.329603372
0.5,38,1,2579775.1051201657
0.5,39,1,2437651.381901317
0.5,40,1,2280642.3344052504
0.5,41,1,1905795.0860636828
0.5,42,1,1920157.3148712846
0.5,43,1,1863357.156720686
0.5,44,1,1588998.2563354112
0.5,45,1,1313370.8780299856
0.5,46,1,1168040.49046519
0.5,47,1,860320.0921765248
0.5,48,1,654227.4969442035
0.5,49,1,337239.565740263
0.5,50,1,0
5,0,1,47724074.527744904
5,1,1,29361785.281827185
5,2,1,25738537.04045956
5,3,1,26207453.92019727
5,4,1,25762115.522478484
5,5,1,26229669.22377421
5,6,1,24540861.346082803
5,7,1,24242049.862972293
5,8,1,24577413.857858147
5,9,1,24360884.11219564
5,10,1,23206482.125403658
5,11,1,23652965.808849283
5,12,1,22651186.887537595
5,13,1,23000258.441661935
5,14,1,22852461.690462712
5,15,1,21357321.58525537
5,16,1,22352627.52914656
5,17,1,20878887.83509632
5,18,1,21281999.467434157
5,19,1,20768135.953149468
5,20,1,20258690.06893403
5,21,1,19686835.890919827
5,22,1,19311316.744135205
5,23,1,19273264.43836318
5,24,1,19739204.85478401
5,25,1,19645177.67636727
5,26,1,19222714.00194649
5,27,1,19217742.35865918
5,28,1,18221803.52925282
5,29,1,18069729.312916953
5,30,1,17439225.018445477
5,31,1,17031558.640374377
5,32,1,16945048.904294584
5,33,1,16847474.527428795
5,34,1,16500003.795663472
5,35,1,17902631.162790537
5,36,1,16013982.78987031
5,37,1,15378185.55290013
5,38,1,15415259.536296126
5,39,1,16465137.773268513
5,40,1,14727021.124068946
