N_bdp,flow,trial,bits_per_second
0.5,0,1,0
0.5,1,1,49410719.690131746
0.5,2,1,95841332.44408001
0.5,3,1,138112940.0308572
0.5,4,1,181759613.18651372
0.5,5,1,215714447.96855086
0.5,6,1,242975950.0591338
0.5,7,1,270013325.63470286
0.5,8,1,295592778.35031664
0.5,9,1,321641191.7433485
0.5,10,1,338689511.5476367
0.5,11,1,358266137.5613539
0.5,12,1,372515025.88469917
0.5,13,1,387210315.84722614
0.5,14,1,398074368.746465
0.5,15,1,408918990.8323069
0.5,16,1,418903969.69412494
0.5,17,1,426296770.3122911
0.5,18,1,433239042.45752573
0.5,19,1,439197368.04662365
0.5,20,1,443161933.3536305
0.5,21,1,445953530.2858894
0.5,22,1,446800559.0197363
0.5,23,1,450834485.9072249
0.5,24,1,451107290.3262439
0.5,25,1,453035749.5067513
0.5,26,1,453743662.53221864
0.5,27,1,455675998.00795674
0.5,28,1,457631048.48278964
0.5,29,1,458481966.13233536
0.5,30,1,460459677.31774837
0.5,31,1,461253301.5506857
0.5,32,1,463246935.67361313
0.5,33,1,463298064.2183412
0.5,34,1,464259579.5296788
0.5,35,1,465828226.79475963
0.5,36,1,466093005.33547616
0.5,37,1,468038179.0636137
0.5,38,1,468068928.0768302
0.5,39,1,469267557.4053198
0.5,40,1,470594845.78155994
0.5,41,1,470874867.8036433
0.5,42,1,471999529.0988449
0.5,43,1,472370709.28345436
0.5,44,1,473803894.9409977
0.5,45,1,474432509.89943558
0.5,46,1,475023071.3626782
0.5,47,1,475798592.1212181
0.5,48,1,476625931.47312289
0.5,49,1,476932048.12462306
0.5,50,1,477262342.2752114
5,0,1,0
5,1,1,119101546.73813052
5,2,1,226806877.237348
5,3,1,271108066.50493574
5,4,1,199067790.5067522
5,5,1,288768705.2322503
5,6,1,256807427.62762976
5,7,1,343128628.0449237
5,8,1,217680053.82389349
5,9,1,303755187.8003531
5,10,1,288349469.7429147
5,11,1,295499695.43518013
5,12,1,337245599.2810544
5,13,1,268977424.1852101
5,14,1,340322643.95734614
5,15,1,326286229.45001477
5,16,1,375328376.96289366
5,17,1,217680053.82389349
5,18,1,349100851.40276355
5,19,1,353486697.3068162
5,20,1,371767500.51757175
5,21,1,365321573.28013253
5,22,1,351062528.31061226
5,23,1,383477920.9911604
5,24,1,385793966.2836923
5,25,1,370612736.988127
5,26,1,377794222.3023723
5,27,1,384779635.8323772
5,28,1,383048263.16757214
5,29,1,384163177.4140566
5,30,1,392552122.454517
5,31,1,398500705.67951536
5,32,1,403970359.1667729
5,33,1,390065232.9541928
5,34,1,392147610.23371536
5,35,1,400600644.73777235
5,36,1,397041231.2747451
5,37,1,410173557.3655576
5,38,1,402495173.7019736
5,39,1,414109258.812073
5,40,1,419961527.0996594
5,41,1,397290868.19548374
5,42,1,418471713.5455223
5,43,1,425624016.7817687
5,44,1,419631065.3343331
5,45,1,427667310.3430165
5,46,1,419208066.64816916
5,47,1,424837026.9075731
5,48,1,432643544.7012706
5,49,1,460758368.45596844
5,50,1,477872168.90319633
10,0,1,0
10,1,1,140017954.34342775
10,2,1,222358422.91207927
10,3,1,204849004.86578622
10,4,1,181858475.2454114
10,5,1,182821907.04157525
10,6,1,200105506.3814721
10,7,1,201181722.61802042
10,8,1,202354007.1461355
10,9,1,242086631.732388
10,10,1,203763782.95669472
10,11,1,192825075.64511532
10,12,1,231128817.48906046
10,13,1,202291759.6975177
10,14,1,212049284.58672127
10,15,1,252126684.08484235
10,16,1,219681973.25579396
10,17,1,224519131.02158478
10,18,1,245713161.88932338
10,19,1,258605898.4294434
10,20,1,232347189.27931967
10,21,1,235487822.95813045
10,22,1,289148267.79555154
10,23,1,241452394.56694034
10,24,1,272898980.77886623
10,25,1,264623380.69769633
10,26,1,270237875.1624133
10,27,1,276443427.8503871
10,28,1,292172027.39463615
10,29,1,286513331.6486887
10,30,1,293676274.29091454
10,31,1,311943598.1503356
10,32,1,320160239.70659876
10,33,1,316824309.29407835
10,34,1,288512609.0888912
10,35,1,280657518.80983436
10,36,1,281803863.2236354
10,37,1,318655335.1065894
10,38,1,321809423.29922664
10,39,1,306026752.55046946
10,40,1,308822992.84654164
10,41,1,324201524.46395683
10,42,1,318419964.37835836
10,43,1,314395054.0827985
10,44,1,338040265.06015927
10,45,1,347237367.5923916
10,46,1,360776545.9911104
10,47,1,374800936.6439298
10,48,1,356470315.0008258
10,49,1,390841006.9006831
10,50,1,477857381.48752946
20,0,1,0
20,1,1,128621283.29459171
20,2,1,192979880.94208497
20,3,1,187981614.01739502
20,4,1,247335230.1980201
20,5,1,238422604.91304973
20,6,1,165955320.13938946
20,7,1,157719266.97378144
20,8,1,134547682.51528075
20,9,1,168750451.65153682
20,10,1,204336879.87011516
20,11,1,159200126.08237138
20,12,1,155293914.36170855
20,13,1,186110873.97858852
20,14,1,160659241.3274114
20,15,1,157491506.6832603
20,16,1,177323853.75653902
20,17,1,204590484.16886187
20,18,1,177319461.37540996
20,19,1,195441591.78231886
20,20,1,172963017.27347732
20,21,1,175971144.58841217
20,22,1,181436956.96634626
20,23,1,181954739.09647182
20,24,1,226765644.48552004
20,25,1,190841996.88763455
20,26,1,206650656.8118008
20,27,1,191210235.49648306
20,28,1,197561637.58832517
20,29,1,210917641.6564618
20,30,1,205525310.53876457
20,31,1,231442147.84729263
20,32,1,208645593.74657106
20,33,1,239208708.2161128
20,34,1,213472227.8357953
20,35,1,219412884.84463468
20,36,1,224482259.42225868
20,37,1,222384106.28745118
20,38,1,228796063.3674676
20,39,1,231910702.45866156
20,40,1,230787491.6863845
20,41,1,231933148.46406677
20,42,1,248758230.8870179
20,43,1,261517082.16237995
20,44,1,237445311.63243565
20,45,1,293189864.8394588
20,46,1,277085222.7817994
20,47,1,289994075.2710777
20,48,1,311652417.64447856
20,49,1,341591360.84191185
20,50,1,477765946.12489486
30,0,1,0
30,1,1,93204373.6226812
30,2,1,162718032.27065316
30,3,1,200476543.69087246
30,4,1,214391492.2920442
30,5,1,212287003.14378324
30,6,1,161580358.26295704
30,7,1,149669600.9913443
30,8,1,160216048.34371123
30,9,1,160958668.3422137
30,10,1,162769488.4164814
30,11,1,164547936.0065842
30,12,1,190053519.41251382
30,13,1,180642606.30445793
30,14,1,167234567.24768457
30,15,1,160323065.5768217
30,16,1,162485533.4089876
30,17,1,173399850.9946249
30,18,1,182360875.79677844
30,19,1,187513386.90442163
30,20,1,175235446.23061278
30,21,1,194562432.5297319
30,22,1,179753291.9931165
30,23,1,172122895.79929796
30,24,1,181384035.24608642
30,25,1,190450471.4518131
30,26,1,189495869.51607984
30,27,1,207029185.34354445
30,28,1,196218685.41325256
30,29,1,210713886.8666046
30,30,1,197024838.88856295
30,31,1,205832618.980495
30,32,1,203312875.61551064
30,33,1,202498704.5737798
30,34,1,206884228.78594783
30,35,1,214016528.0188967
30,36,1,225784646.18338814
30,37,1,226180128.32775262
30,38,1,233349447.15906367
30,39,1,241215370.38134417
30,40,1,249333024.2844486
30,41,1,243481016.22760364
30,42,1,248045499.67115283
30,43,1,232077431.7392583
30,44,1,253110660.79071847
30,45,1,248001817.8816049
30,46,1,245478369.84360775
30,47,1,266483465.09018356
30,48,1,267913238.66793662
30,49,1,279258484.974126
30,50,1,477395089.7146585
40,0,1,0
40,1,1,73350652.1856031
40,2,1,128607553.35406967
40,3,1,178107454.90107444
40,4,1,197304545.28690296
40,5,1,183223392.74431178
40,6,1,193083555.62988064
40,7,1,176193236.53007275
40,8,1,174755995.01173767
40,9,1,163922185.48686707
40,10,1,178889116.77396148
40,11,1,186116545.28206873
40,12,1,170713890.14265087
40,13,1,168897768.46381095
40,14,1,188786940.22055355
40,15,1,190546734.79494947
40,16,1,183882130.92439106
40,17,1,168058925.25558457
40,18,1,175076436.0888014
40,19,1,173667198.16196775
40,20,1,188955624.97565338
40,21,1,201255421.90990657
40,22,1,196387148.54753074
40,23,1,187247111.8370238
40,24,1,194929595.14078704
40,25,1,193717362.0487174
40,26,1,183042135.37937564
40,27,1,206216594.66317236
40,28,1,196759526.14449507
40,29,1,209287196.6774502
40,30,1,214537331.00559226
40,31,1,209365258.0852708
40,32,1,219721470.65199763
40,33,1,214503289.13194862
40,34,1,216351012.023713
40,35,1,222237983.48154193
40,36,1,219794429.45506096
40,37,1,217907158.0171633
40,38,1,215859795.04632124
40,39,1,216116821.47037557
40,40,1,217736946.9887883
40,41,1,231107554.83690962
40,42,1,225480094.23540196
40,43,1,226770344.5061476
40,44,1,224846119.06307006
40,45,1,207392887.29281002
40,46,1,208932640.53620115
40,47,1,245935518.85187134
40,48,1,264727432.5553693
40,49,1,280103902.9251065
40,50,1,477820867.01146424
50,0,1,0
50,1,1,51453852.08106359
50,2,1,97429992.32144971
50,3,1,143496638.6723451
50,4,1,173023238.71241793
50,5,1,183668479.73688662
50,6,1,176735963.39533788
50,7,1,173057724.30603203
50,8,1,216201947.61480555
50,9,1,169713216.35161844
50,10,1,168816112.74985948
50,11,1,174568780.3887077
50,12,1,173157565.08743778,
50,13,1,179041569.75049132
50,14,1,183924960.07956734
50,15,1,191427892.64827782
50,16,1,187135036.0920659
50,17,1,180867237.81719226
50,18,1,190019561.81516078
50,19,1,200318324.6161814
50,20,1,185247499.94129184
50,21,1,195017848.73418936
50,22,1,192163216.5970105
50,23,1,203661301.07330218
50,24,1,194662494.65629035
50,25,1,199221247.46453217
50,26,1,199404670.17880818
