N_bdp,flow,trial,bits_per_second
0.5,0,1,477467424.940017
0.5,1,1,429932795.49452454
0.5,2,1,383524306.5841937
0.5,3,1,341113187.34562546
0.5,4,1,297096378.3080728
0.5,5,1,263798627.82389995
0.5,6,1,236051303.99904373
0.5,7,1,209146984.07213312
0.5,8,1,183668750.87239102
0.5,9,1,157467172.0906551
0.5,10,1,140127812.82329467
0.5,11,1,120378140.51845796
0.5,12,1,106207657.70061661
0.5,13,1,91538456.68364312
0.5,14,1,80293692.99337739
0.5,15,1,69298980.63364244
0.5,16,1,58945419.22804585
0.5,17,1,51772282.63455906
0.5,18,1,44788810.0452942
0.5,19,1,38925374.903401315
0.5,20,1,34888404.34784989
0.5,21,1,31937462.480133805
0.5,22,1,30616068.55361118
0.5,23,1,26784899.84155385
0.5,24,1,26466398.50225684
0.5,25,1,24688807.984434225
0.5,26,1,23461260.544218928
0.5,27,1,21955213.800886635
0.5,28,1,20219574.789384194
0.5,29,1,19234885.796380527
0.5,30,1,17447606.685211737
0.5,31,1,16781361.684906755
0.5,32,1,15104962.087118013
0.5,33,1,14566632.694374934
0.5,34,1,13388422.379530042
0.5,35,1,12681796.549340695
0.5,36,1,12414981.96953518
0.5,37,1,10577539.341945635
0.5,38,1,10400431.875722772
0.5,39,1,9247615.410816709
0.5,40,1,8314803.315922822
0.5,41,1,7896564.709747972
0.5,42,1,7163349.524902212
0.5,43,1,6530711.481684792
0.5,44,1,45443979.78668763
0.5,45,1,5111784.6174847353
0.5,46,1,40365549.37692265
0.5,47,1,83122590.49719225
0.5,48,1,3124089.9886456016
0.5,49,1,1536515.08883499
0.5,50,1,0
5,0,1,477573730.75882846
5,1,1,362028220.00784171
5,2,1,254491664.7658935
5,3,1,209986373.17950386
5,4,1,281357302.3235478
5,5,1,191871477.08920252
5,6,1,301749528.3078326
5,7,1,202233445.33413988
5,8,1,262649983.65421775
5,9,1,175995439.46843234
5,10,1,184779871.60197902
5,11,1,159250354.56590724
5,12,1,142597103.51130548
5,13,1,211094941.67217803
5,14,1,139766510.123637
5,15,1,153694337.79670048
5,16,1,144438946.30459204
5,17,1,137391809.53156602
5,18,1,128894962.77717586
5,19,1,166219591.93804303
5,20,1,188526784.61255443
5,21,1,113284825.27515559
5,22,1,169165191.73628423
5,23,1,94457873.74038717
5,24,1,92165210.72276248
5,25,1,107247348.4418385
5,26,1,100073064.0310852
5,27,1,93165187.6683845
5,28,1,94940353.51975822
5,29,1,93869995.53179622
5,30,1,85730100.75370745
5,31,1,79894099.92675821
5,32,1,74462660.1923867
5,33,1,88726252.65798402
5,34,1,86619700.76802285
5,35,1,78134517.2179467
5,36,1,82162391.12821624
5,37,1,68710149.04522865
5,38,1,76464969.50809985
5,39,1,64956292.29248844
5,40,1,59904642.94892338
5,41,1,81996682.36860232
5,42,1,60973903.81444241
5,43,1,53157835.56568576
5,44,1,59554294.26840986
5,45,1,51565484.63215559
5,46,1,59724149.54535476
5,47,1,54168694.314742364
5,48,1,46205931.38213282
5,49,1,17812795.917608354
5,50,1,0
10,0,1,477419941.21547556
10,1,1,340332131.89823556
10,2,1,258033511.4870421
10,3,1,275611446.99707115
10,4,1,298841275.74954855
10,5,1,297649048.7279309
10,6,1,280324172.7077496
10,7,1,279106763.6622599
10,8,1,277864678.8986049
10,9,1,238118728.10770005
10,10,1,275904836.5386614
10,11,1,286817335.25548357
10,12,1,248696508.236217
10,13,1,276738691.7566945
10,14,1,267226334.77851933
